epoch,step,train_cardinality_error,train_loss_bbox,train_loss_ce,train_loss_giou,training_loss,validation/loss,validation_cardinality_error,validation_loss_bbox,validation_loss_ce,validation_loss_giou
0,4,62.0,0.6019078493118286,1.5459084510803223,0.9653744697570801,6.486196517944336,,,,,
0,9,2.0,0.07778959721326828,1.2874561548233032,0.824919581413269,3.3262434005737305,,,,,
0,14,1.0,0.07010699808597565,0.9847217798233032,0.5178220272064209,2.370900869369507,,,,,
0,19,1.0,0.12558192014694214,0.709823489189148,0.9891214370727539,3.3159759044647217,,,,,
0,24,1.0,0.1405801624059677,0.5186592936515808,0.7589144706726074,2.739388942718506,,,,,
0,29,1.0,0.0784958004951477,0.46650171279907227,0.4625517725944519,1.7840843200683594,,,,,
0,34,1.0,0.1777554452419281,0.4441356062889099,0.7180776596069336,2.7690682411193848,,,,,
0,39,3.0,0.15382027626037598,0.8847664594650269,0.8442620038986206,3.3423919677734375,,,,,
0,40,,,,,,2.430227041244507,1.329545497894287,0.11082396656274796,0.5294436812400818,0.6733319759368896
1,44,1.0,0.14656789600849152,0.47798290848731995,1.070879578590393,3.35258150100708,,,,,
1,49,2.0,0.05733655020594597,0.8150718808174133,0.6246227025985718,2.3510000705718994,,,,,
1,54,1.0,0.04682650417089462,0.4815675616264343,0.5837628841400146,1.883225917816162,,,,,
1,59,1.0,0.052071668207645416,0.39078015089035034,0.30097758769989014,1.2530937194824219,,,,,
1,64,1.0,0.04485198110342026,0.4600192606449127,0.45935875177383423,1.6029967069625854,,,,,
1,69,1.0,0.07420962303876877,0.4201330244541168,0.6081224679946899,2.0074260234832764,,,,,
1,74,1.0,0.11736885458230972,0.4134005010128021,0.6363791227340698,2.273003101348877,,,,,
1,79,0.0,0.0,0.11905650794506073,0.0,0.11905650794506073,,,,,
1,81,,,,,,2.2915754318237305,1.329545497894287,0.09203452616930008,0.5242946147918701,0.6535542607307434
2,84,1.0,0.08569833636283875,0.4911958873271942,0.7433991432189941,2.4064857959747314,,,,,
2,89,2.0,0.08483882993459702,0.6003149151802063,0.7349491119384766,2.4944071769714355,,,,,
2,94,2.0,0.04192543774843216,0.6975340843200684,0.5261191129684448,1.9593994617462158,,,,,
2,99,3.0,0.12370270490646362,0.9331024289131165,0.9362417459487915,3.4240994453430176,,,,,
2,104,1.0,0.03274427354335785,0.41123443841934204,0.5155285596847534,1.6060129404067993,,,,,
2,109,1.0,0.0567094087600708,0.47914835810661316,0.37523049116134644,1.5131564140319824,,,,,
2,114,1.0,0.02606877312064171,0.3729085624217987,0.5552229285240173,1.6136982440948486,,,,,
2,119,1.0,0.0710316002368927,0.35074177384376526,0.7575463056564331,2.22099232673645,,,,,
2,122,,,,,,2.2231714725494385,1.329545497894287,0.09635388851165771,0.4992974102497101,0.6210520267486572
3,124,1.0,0.04857351630926132,0.43764224648475647,0.6223386526107788,1.925187110900879,,,,,
3,129,2.0,0.05957649275660515,0.6957302689552307,0.5455796122550964,2.0847721099853516,,,,,
3,134,1.0,0.08209435641765594,0.34694704413414,0.5110658407211304,1.779550552368164,,,,,
3,139,2.0,0.1142892986536026,0.6963487863540649,0.5433996915817261,2.3545947074890137,,,,,
3,144,1.0,0.06292970478534698,0.4336548447608948,0.6374567151069641,2.023216724395752,,,,,
3,149,1.0,0.0789773166179657,0.41510751843452454,0.7467782497406006,2.3035507202148438,,,,,
3,154,2.0,0.10993384569883347,0.7218738198280334,0.6034340262413025,2.4784111976623535,,,,,
3,159,2.0,0.015607284381985664,0.6337794065475464,0.3809219002723694,1.473659634590149,,,,,
3,163,,,,,,2.219578742980957,1.329545497894287,0.09585446864366531,0.5012185573577881,0.6195436120033264
4,164,1.0,0.20545712113380432,0.49484285712242126,1.0169472694396973,3.556023120880127,,,,,
4,169,1.0,0.056456558406353,0.4777781665325165,0.4039760231971741,1.5680129528045654,,,,,
4,174,1.0,0.08996545523405075,0.348371684551239,0.6597343683242798,2.1176676750183105,,,,,
4,179,1.0,0.2608577609062195,0.4244208335876465,0.795478105545044,3.3196659088134766,,,,,
4,184,1.0,0.05404995381832123,0.45840904116630554,0.43288326263427734,1.5944253206253052,,,,,
4,189,1.0,0.09678855538368225,0.3605581223964691,0.664758563041687,2.174017906188965,,,,,
4,194,1.0,0.051593679934740067,0.41115161776542664,0.534186601638794,1.7374932765960693,,,,,
